producto,familia_corta,subfamilia,intervencion,contacto_genero,tipo_contacto,residuo,logica_principal,industria_alimentaria,contacto_alimentario_tecnico,eco_si_consta,perimetro_eco,soporte,documento_mejor,dosificacion_consta,estado_confianza,duda_clave_corta
OXISAN,oxidante proceso,linea oxidante acida de proceso,AGUA,IND,indirecto / auxiliar sensible,PROC,tratamiento + higienizacion,Si,Si probable,Si,ECO real fuerte,ALTO,FDS real propia de Chemie,No,ALTO,encaje exacto proceso/coadyuvante
CHEMGRAS DS,desengrasante industrial,desengrase tecnico de superficies,SUP/EQ,NO,directo,ACL,limpieza + desengrase,No clara,No consta,No,Fuera de perimetro ECO real actual,ALTO,FDS real propia,No,ALTO,usos concretos y vigencia
HIDROBRILL,secante-abrillantador,postlavado hortofruticola,GEN,DIR,directo probable / de acabado,PROC,acabado + secado + brillo,Si,Si probable,No,Cercano al mundo ECO/hortofruticola pero no ECO acreditado,MED-BAJO,ficha tecnica / hoja comercial CLP,No,MEDIO,FDS y encaje tecnico fino
V-80,aceite blanco alimentario,lubricante tecnico apto para contacto alimentario,AUX,NO,auxiliar,NC,lubricacion + auxiliar tecnico,Si,Si,No,Alimentario tecnico pero no ECO por defecto,MED-ALTO,ficha tecnica fuerte / especificacion tecnica,No,MED-ALTO,FDS y diferencia real con IBERFARM L
ACTIV CLOR,clorado limpieza/blanqueo,hipoclorito para limpieza y blanqueo profesional,SUP/EQ,NO,directo,ACL,limpieza + blanqueo,No clara,No consta,No,Fuera de perimetro ECO real actual,ALTO,FDS completa,No,ALTO,usos actuales frente a otras lineas cloradas
ALICLOR COMPLET,clorado limpieza-desinfeccion,detergente bactericida/fungicida clorado profesional,SUP/EQ,NO,directo,ACL,limpieza + desinfeccion + desengrase,Si,No directo; si de entorno alimentario,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,ALTO,FDS completa + soporte registral/tecnico,No,ALTO,vigencia exacta de registro/formulacion
TUNELIMP,detergente caustico de linea,limpiador caustico de proceso / tunel de lavado,SUP/EQ,NO,directo,ACL,limpieza tecnica de lavado,Si probable,Si de entorno de proceso,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,ALTO,FDS completa + hoja previa de apoyo,No,ALTO,relacion exacta con TUNELIMP CL
DERGEL SO,lavado manos sin residuo,jabon liquido para industria alimentaria,MANO,NO,directo,SIN,higiene manos,Si,No; higiene personal en entorno alimentario,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,MEDIO,ficha tecnica / hoja CLP,No,MEDIO,FDS y peso comercial real
BRINET BQ,limpieza general bioalcohol,limpieza de mantenimiento base bioalcohol,SUP/EQ,NO,directo,NC,limpieza + mantenimiento,Si secundaria,No consta,No,Fuera de perimetro ECO real actual,MED-BAJO,ficha tecnica / hoja comercial CLP,No,MED-BAJO,que significa apto en alimentaria
BRINET AML,limpiador amoniacal,limpieza y desodorizacion de mantenimiento,SUP/EQ,NO,directo,NC,limpieza + desodorizacion,No clara,No consta,No,Fuera de perimetro ECO real actual,MED-BAJO,ficha tecnica / hoja comercial CLP,No,MED-BAJO,FDS y vigencia real
NETIND,disolvente tecnico,limpieza tecnica por disolvente,SUP/EQ,NO,directo,NC,limpieza tecnica + disolucion,No clara,No consta,No,Fuera de perimetro ECO real actual,ALTO,FDS completa,No,ALTO,peso real de la familia solvente
TR-20,aditivo aguas lavado,aditivo funcional de proceso hortofruticola,AGUA,IND,indirecto / auxiliar de proceso,PROC,tratamiento proceso + acabado,Si,Si probable,NC,Cercano al mundo ECO/hortofruticola pero no ECO acreditado,MEDIO,ficha tecnica fuerte con anexo explicativo,No,MED-ALTO,FDS y encaje exacto de proceso
CHEMGRAS BAC,higienizante no clorado,higienizante no clorado con amonios cuaternarios,SUP/EQ,NO,directo,ACL,limpieza + desengrase + higienizacion,Si probable,No directo; si posible en entorno tecnico,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,ALTO,FDS completa,No,ALTO,peso real frente a CHEMGRAS DS
IBERFARM L,lubricante alimentario atoxico,lubricante antiadherente desmoldante y abrillantador atoxico,AUX,NO,auxiliar,NC,lubricacion + antiadherencia + desmoldeo,Si,Si,No,Alimentario tecnico pero no ECO por defecto,MED-ALTO,ficha tecnica fuerte / especificacion tecnica,No,MED-ALTO,relacion exacta con V-80
LICOGEL,sanitizante hidroalcoholico,sanitizacion directa de manos/superficies de uso rapido,MANO / SUP,NO,directo,SIN,sanitizacion rapida,Si,No directo; si en entorno alimentario,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,MEDIO,ficha tecnica fuerte,Parcial si,MEDIO,FDS y soporte completo de usos
TUNELIMP CL,tunel clorado higienizante,variante clorada e higienizante de proceso alimentario,SUP/EQ,NO,directo,ACL,limpieza + higienizacion + cloracion,Si,Si de entorno/proceso,No,Alimentario/tecnico de entorno alimentario pero no ECO por defecto,MEDIO,ficha tecnica / hoja CLP fuerte,No,MED-ALTO,FDS especifica y relacion con TUNELIMP
