ID|EMPRESA|AREA|INCIDENCIA|DATO_DETECTADO|IMPACTO|HIPOTESIS|PREGUNTAS_SEPTIEMBRE|PRIORIDAD|ESTADO|ARCHIVOS_ORIGEN
INC-001|CHEMIE|Margen / ventas sin coste|Ventas sin coste medio en 2025|159 líneas sin coste / 32.290,11 € aprox. detectados inicialmente|Puede inflar margen si se interpreta como venta ordinaria|Gran parte son vehículos, repercusiones o líneas no core, no producto comercial normal|¿Por qué se facturan vehículos desde CHEMIE? ¿Dónde se registra la baja/coste del inmovilizado? ¿Qué criterio se usa para líneas sin familia/coste?|Alta|Pendiente validar internamente|01_validacion_total / 05_incidencias / 06_productos_costes / 07A_ventas_lineas / 07K_validacion_maestros
INC-002|CHEMIE|No core / líneas manuales|Líneas no core y referencias no existentes en maestro|2025: 178 líneas no core / 211 referencias no existentes en maestro|Distorsiona análisis de ventas core y margen operativo|Hay líneas manuales, vehículos, repercusiones, ajustes o conceptos no comerciales|¿Qué tipos de líneas se facturan manualmente? ¿Quién decide si una línea lleva familia? ¿Deben clasificarse como no core?|Media-Alta|Pendiente clasificar|07A_ventas_lineas / 07G_articulos / 07K_validacion_maestros
INC-003|ALMERIENSE|Margen|Margen 2025 distorsionado por referencias genéricas|Al excluir genéricas, margen 2025 pasa a positivo: ventas 134.033,63 €, coste 57.175,31 €, margen 76.858,32 €|El margen contable por líneas no es fiable si se incluye 999999|Referencia 999999 arrastra costes medios absurdos aplicados a tornillos, arandelas, pilas y líneas manuales|¿Por qué se usa 999999? ¿Quién da de alta artículos? ¿Por qué no se crean artículos reales? ¿Se revisa margen por referencia?|Muy Alta|Validado como incidencia de dato|05_incidencias / 06_productos_costes / 07A_ventas_lineas / 07K_validacion_maestros
INC-004|ALMERIENSE|Maestro artículos|Referencias duplicadas y genéricas en maestro|Duplicados detectados en 000000, 999993, 999991 y otras referencias|Puede provocar costes medios erróneos, margen falso y mala trazabilidad|Uso de referencias cajón desastre y artículos genéricos|¿Qué referencias genéricas se usan y para qué? ¿Hay protocolo de alta de artículos? ¿Quién mantiene maestro?|Muy Alta|Pendiente limpieza maestro|07G_articulos / 07K_validacion_maestros
INC-005|ALMERIENSE|Clientes pendientes|CANALEX concentra gran parte del pendiente|CANALEX: 46.489,37 € pendiente ajustado en Almeriense|Riesgo de considerar cobrable una deuda antigua posiblemente incobrable|Saldo antiguo, renovado/devuelto o no depurado|¿Ese saldo es cobrable? ¿Está reclamado? ¿Debe provisionarse o limpiarse? ¿Por qué sigue vivo en cartera?|Muy Alta|Pendiente decisión|03_cobros_bancos_deuda / 07B_clientes_pendientes
INC-006|CHEMIE|Clientes pendientes|Pendiente relevante en varios clientes/personas vinculadas|Top: Mercedes Martínez 8.840 €, CANALEX 7.592,59 €, Jerónimo Molina 5.000 €|Afecta caja real y lectura de saldos vivos|Puede haber saldos antiguos, vinculados o no operativos|¿Qué saldos son reales y cobrables? ¿Qué saldos son vinculados? ¿Qué saldos deberían cerrarse?|Alta|Pendiente validar|07B_clientes_pendientes
INC-007|ECOCLEAN|Cuenta 758|Ingresos 758 recurrentes y relevantes|2024: 19.414,58 € / 2025: 18.729,00 € / movimientos recurrentes asociados a facturas|No se puede interpretar resultado de ECOCLEAN sin aclarar qué es 758|Puede ser ingreso accesorio, margen interno, gestión, regularización o criterio contable|¿Qué representa exactamente la cuenta 758? ¿Por qué se usa en facturas? ¿Es ingreso operativo real? ¿Debería reclasificarse?|Muy Alta|Pendiente aclaración contable|04_pyg_patrimonio / 07E_diario_sensible
INC-008|GRUPO|Proveedores pendientes|Pendiente bruto de proveedores inflado por anulados|Grupo bruto 65.112,37 €, pendiente gestión 1.078,89 €|Puede dar imagen falsa de deuda comercial si no se filtran anulados|Muchos vencimientos anulados siguen en VTOSPROVEEDORES|¿Por qué siguen vencimientos anulados en cartera? ¿Se revisa el pendiente real de proveedores?|Media|Depurado analíticamente|07C_proveedores_pendientes
INC-009|GRUPO|Financiación / bancos|Mejora posición financiera neta|Bancos grupo: 110.751,92 € en 2024 a 148.893,60 € en 2025. Deuda: 113.964,89 € a 80.768,47 €|Mejora de liquidez y reducción de deuda, pero hay que validar operaciones de financiación reales|Amortización de préstamos y mejora de caja operativa/patrimonial|¿Qué préstamos siguen vivos? ¿Qué cuotas quedan? ¿Hay cuadros de amortización externos? ¿Existen pólizas o leasing no claros?|Alta|Pendiente cruzar con documentación bancaria|03_cobros_bancos_deuda / 07D_bancos_deuda
INC-010|GRUPO|Cuentas 551 socios/grupo|Saldos sensibles en cuentas 551|Cierres detectados: CHEMIE 8.085,54 € H, ALMERIENSE 19.754,45 € H, ECOCLEAN 3.800 € H en 2025|Riesgo de saldos con socios/administradores sin explicación documental|Pueden ser préstamos, anticipos, pagos personales, compensaciones o movimientos intragrupo|¿Quién es el titular real de cada 551? ¿Qué origen tienen? ¿Hay acuerdo/documentación? ¿Se liquidan o permanecen?|Alta|Pendiente documentación|07E_diario_sensible
INC-011|ALMERIENSE|Ingresos alquileres|Alquileres 752 identificados|2024: 28.802,91 € / 2025: 31.573,45 €|Separar patrimonial de negocio comercial|Incluye nave a CHEMIE y Macenas / otros alquileres|¿Qué parte corresponde a nave operativa? ¿Qué parte a Macenas? ¿Está el alquiler a mercado? ¿Hay contrato/anexo actualizado?|Alta|Pendiente desglose contractual|04_pyg_patrimonio / 07E_diario_sensible
INC-012|GRUPO|Operaciones intragrupo|Operaciones entre CHEMIE, ALMERIENSE, ECOCLEAN y vinculadas|Detectadas ventas/compras/alquileres/saldos entre sociedades|Hay que separar negocio real de movimientos vinculados|Operaciones ordinarias, alquileres, compras internas, saldos socios/grupo|¿Qué operaciones son recurrentes? ¿Cuáles son a mercado? ¿Qué criterio se usa para facturar entre sociedades?|Alta|Pendiente mapa intragrupo|02_margen_clientes_proveedores / 04_pyg_patrimonio / 07E_diario_sensible
INC-013|ECOCLEAN|Margen / ventas|ECOCLEAN baja ventas pero mejora margen depurado|Ventas depuradas 2025: 88.713,85 €, margen 41.716,82 €|Puede ser mejora de mix o efecto de costes/productos|Menor venta, mejor margen estimado|¿Qué productos o clientes explican la mejora? ¿Es real o efecto de coste medio?|Media|Pendiente análisis comercial|06_productos_costes / 07A_ventas_lineas
INC-014|CHEMIE|Margen|CHEMIE mejora margen depurado en 2025|Margen depurado: 283.435,23 € en 2024 a 319.443,52 € en 2025|Dato positivo, pero debe separarse core/no core|Mejora de mix, precios, costes o productos|¿Qué familias/productos explican la mejora? ¿Fue por subida de precios, mix o costes?|Media|Pendiente análisis por producto/familia|06_productos_costes / 07A_ventas_lineas
INC-015|ALMERIENSE|Clientes / ventas|Ventas relevantes de EJIDOMAR asociadas a referencias problemáticas|EJIDOMAR aparece como cliente fuerte y también en líneas 999999 que rompen margen|Riesgo de margen falso por cliente clave|Se factura mucho con genéricas o líneas manuales|¿Qué se vende realmente a EJIDOMAR? ¿Se puede crear catálogo/artículos reales para sus consumos habituales?|Alta|Pendiente revisión comercial|06_productos_costes / 07A_ventas_lineas / 07K_validacion_maestros
